Source,Rate category,Updated Parish,Month,Sum of Budget
Postpaid,RT10,Clarendon,Apr-26,5214707
Postpaid,RT10,Clarendon,May-26,5458384
Postpaid,RT10,Clarendon,Jun-26,5796920
Postpaid,RT10,Clarendon,Jul-26,6000841
Postpaid,RT10,Clarendon,Aug-26,6625254
Postpaid,RT10,Clarendon,Sept-26,6084055
Postpaid,RT10,Clarendon,Oct-26,5978308
Postpaid,RT10,Clarendon,Nov-26,5668296
Postpaid,RT10,Clarendon,Dec-26,5348633
Postpaid,RT10,Hanover,Apr-26,1830290
Postpaid,RT10,Hanover,May-26,2155295
Postpaid,RT10,Hanover,Jun-26,2416133
Postpaid,RT10,Hanover,Jul-26,2501127
Postpaid,RT10,Hanover,Aug-26,2623311
Postpaid,RT10,Hanover,Sept-26,2409020
Postpaid,RT10,Hanover,Oct-26,2367149
Postpaid,RT10,Hanover,Nov-26,2244398
Postpaid,RT10,Hanover,Dec-26,2117825
Postpaid,RT10,KSAN,Apr-26,17176159
Postpaid,RT10,KSAN,May-26,17978780
Postpaid,RT10,KSAN,Jun-26,19093846
Postpaid,RT10,KSAN,Jul-26,19765521
Postpaid,RT10,KSAN,Aug-26,21822206
Postpaid,RT10,KSAN,Sept-26,20039608
Postpaid,RT10,KSAN,Oct-26,19691300
Postpaid,RT10,KSAN,Nov-26,18670187
Postpaid,RT10,KSAN,Dec-26,17617284
Postpaid,RT10,KSAS,Apr-26,7474906
Postpaid,RT10,KSAS,May-26,7824200
Postpaid,RT10,KSAS,Jun-26,8309466
Postpaid,RT10,KSAS,Jul-26,8601773
Postpaid,RT10,KSAS,Aug-26,9206104
Postpaid,RT10,KSAS,Sept-26,8454082
Postpaid,RT10,KSAS,Oct-26,8307142
Postpaid,RT10,KSAS,Nov-26,7876366
Postpaid,RT10,KSAS,Dec-26,7432179
Postpaid,RT10,Manchester,Apr-26,5023143
Postpaid,RT10,Manchester,May-26,5257869
Postpaid,RT10,Manchester,Jun-26,5583968
Postpaid,RT10,Manchester,Jul-26,5780399
Postpaid,RT10,Manchester,Aug-26,6381873
Postpaid,RT10,Manchester,Sept-26,5860555
Postpaid,RT10,Manchester,Oct-26,5758693
Postpaid,RT10,Manchester,Nov-26,5460070
Postpaid,RT10,Manchester,Dec-26,5152150
Postpaid,RT10,Portland,Apr-26,2571135
Postpaid,RT10,Portland,May-26,2691282
Postpaid,RT10,Portland,Jun-26,2858198
Postpaid,RT10,Portland,Jul-26,2958742
Postpaid,RT10,Portland,Aug-26,3232585
Postpaid,RT10,Portland,Sept-26,2968524
Postpaid,RT10,Portland,Oct-26,2916928
Postpaid,RT10,Portland,Nov-26,2765667
Postpaid,RT10,Portland,Dec-26,2609698
Postpaid,RT10,Portmore,Apr-26,8305222
Postpaid,RT10,Portmore,May-26,8693315
Postpaid,RT10,Portmore,Jun-26,9232485
Postpaid,RT10,Portmore,Jul-26,9557261
Postpaid,RT10,Portmore,Aug-26,10228722
Postpaid,RT10,Portmore,Sept-26,9393165
Postpaid,RT10,Portmore,Oct-26,9229903
Postpaid,RT10,Portmore,Nov-26,8751276
Postpaid,RT10,Portmore,Dec-26,8257749
Postpaid,RT10,St. Ann,Apr-26,5171140
Postpaid,RT10,St. Ann,May-26,6089379
Postpaid,RT10,St. Ann,Jun-26,6826330
Postpaid,RT10,St. Ann,Jul-26,7066463
Postpaid,RT10,St. Ann,Aug-26,7801759
Postpaid,RT10,St. Ann,Sept-26,7164454
Postpaid,RT10,St. Ann,Oct-26,7039928
Postpaid,RT10,St. Ann,Nov-26,6674865
Postpaid,RT10,St. Ann,Dec-26,6298437
Postpaid,RT10,St. Catherine,Apr-26,11178321
Postpaid,RT10,St. Catherine,May-26,11700671
Postpaid,RT10,St. Catherine,Jun-26,12426360
Postpaid,RT10,St. Catherine,Jul-26,12863489
Postpaid,RT10,St. Catherine,Aug-26,13767235
